pres08,coninc,race,hispanic
 2,6.09675000000000000e+04, 1, 1
 2,3.32550000000000000e+04, 1, 1
 2,2.77125000000000000e+04, 1, 1
 2,1.60742217849999986e+05, 1, 1
 2,1.60742217849999986e+05, 1, 1
 1,1.20087500000000000e+04, 2, 1
 1,6.65100000000000000e+03, 2, 1
 1,8.31375000000000000e+03, 2, 1
 1,2.40175000000000000e+04, 2, 1
 2,7.39000000000000000e+04, 1, 1
 1,6.09675000000000000e+04, 1, 1
 1,2.77125000000000000e+04, 1, 1
 2,7.39000000000000000e+04, 1, 1
 2,1.38562500000000000e+04, 1, 1
 1,1.03460000000000000e+05, 2, 1
 2,7.39000000000000000e+04, 1, 1
 1,6.09675000000000000e+04, 1, 1
 1,4.98825000000000000e+04, 1, 1
 1,1.20087500000000000e+04, 2, 1
 2,1.60742217849999986e+05, 1, 1
 1,1.03460000000000000e+05, 2, 1
 1,4.98825000000000000e+04, 2, 1
 2,4.06450000000000000e+04, 1, 1
 1,4.98825000000000000e+04, 2, 1
 1,4.98825000000000000e+04, 1, 1
 1,4.98825000000000000e+04, 1, 1
 2,1.75512500000000000e+04, 1, 1
 1,1.03460000000000000e+05, 1, 1
 2,7.39000000000000000e+04, 1, 1
 2,1.60742217849999986e+05, 1,30
 1,8.86800000000000000e+04, 1, 1
 1,7.39000000000000000e+04, 3, 1
 1,1.60742217849999986e+05, 1, 1
 2,1.60742217849999986e+05, 1, 1
 2,1.03460000000000000e+05, 1, 1
 1,1.03460000000000000e+05, 1, 1
 2,1.60742217849999986e+05, 1, 1
 2,3.69500000000000000e+02, 1, 1
 2,1.57037500000000000e+04, 1, 1
 1,7.39000000000000000e+04, 1, 1
 1,7.39000000000000000e+04, 1, 1
 1,3.32550000000000000e+04, 1, 1
 1,4.06450000000000000e+04, 1, 1
 1,1.20087500000000000e+04, 2, 1
 1,4.80350000000000000e+03, 1, 1
 1,1.47800000000000000e+03, 2, 1
 1,8.31375000000000000e+03, 2, 1
 1,8.31375000000000000e+03, 2, 1
 1,8.31375000000000000e+03, 2, 1
 1,4.06450000000000000e+04, 1, 1
 2,1.60742217849999986e+05, 1, 1
 2,1.47800000000000000e+03, 1, 1
 1,4.98825000000000000e+04, 2, 1
 1,4.06450000000000000e+04, 2, 1
 2,2.77125000000000000e+04, 1, 1
 1,2.40175000000000000e+04, 2, 1
 2,7.39000000000000000e+04, 3, 3
 1,2.40175000000000000e+04, 2, 1
 1,1.38562500000000000e+04, 2, 1
 1,1.01612500000000000e+04, 2, 1
 1,4.06450000000000000e+04, 2, 1
 1,2.40175000000000000e+04, 2, 1
 1,1.75512500000000000e+04, 2, 1
 1,3.32550000000000000e+04, 2, 1
 2,1.01612500000000000e+04, 1, 1
 1,6.65100000000000000e+03, 2, 1
 2,4.98825000000000000e+04, 1, 1
 2,7.39000000000000000e+04, 1, 1
 1,7.39000000000000000e+04, 2, 1
 1,5.54250000000000000e+03, 1, 2
 2,6.09675000000000000e+04, 1,30
 3,4.06450000000000000e+04, 3, 2
 1,7.39000000000000000e+04, 3, 2
 2,1.03460000000000000e+05, 1, 1
 2,4.06450000000000000e+04, 1, 1
 1,1.60742217849999986e+05, 1, 3
 2,2.40175000000000000e+04, 1, 1
 2,1.75512500000000000e+04, 1, 1
 2,6.09675000000000000e+04, 1, 1
 2,1.03460000000000000e+05, 1, 1
 2,8.86800000000000000e+04, 1, 1
 2,4.98825000000000000e+04, 1, 1
 2,4.06450000000000000e+04, 1, 1
 2,1.03460000000000000e+05, 1, 1
 1,4.98825000000000000e+04, 2, 1
 1,1.75512500000000000e+04, 2, 1
 2,4.98825000000000000e+04, 1, 1
 2,3.32550000000000000e+04, 1, 1
 2,2.77125000000000000e+04, 1, 1
 2,7.39000000000000000e+04, 1, 1
 2,3.32550000000000000e+04, 1, 1
 1,8.86800000000000000e+04, 2, 1
 1,1.75512500000000000e+04, 3, 1
 1,2.03225000000000000e+04, 3, 1
 1,6.65100000000000000e+03, 2, 1
 1,7.39000000000000000e+04, 2, 1
 1,4.98825000000000000e+04, 2, 1
 2,2.03225000000000000e+04, 1, 1
 2,1.60742217849999986e+05, 1, 1
 1,4.98825000000000000e+04, 2, 1
 2,4.06450000000000000e+04, 1, 1
 2,1.03460000000000000e+05, 1, 1
 1,8.86800000000000000e+04, 2, 1
 2,1.60742217849999986e+05, 1, 1
 3,4.98825000000000000e+04, 1, 1
 2,6.09675000000000000e+04, 1, 1
 2,4.98825000000000000e+04, 1, 1
 3,6.09675000000000000e+04, 1, 1
 1,4.98825000000000000e+04, 2, 1
 1,1.20087500000000000e+04, 2, 1
 1,4.98825000000000000e+04, 2, 1
 1,2.40175000000000000e+04, 2, 1
 1,1.47800000000000000e+03, 2, 1
 1,1.01612500000000000e+04, 1,24
 1,6.09675000000000000e+04, 1, 1
 1,8.31375000000000000e+03, 2, 1
 1,3.32550000000000000e+04, 2, 1
 1,4.98825000000000000e+04, 2, 1
 2,8.31375000000000000e+03, 1,15
 1,1.47800000000000000e+03, 1, 4
 1,4.98825000000000000e+04, 2, 1
 1,7.39000000000000000e+04, 2, 1
 2,4.98825000000000000e+04, 1, 1
 2,4.06450000000000000e+04, 1, 1
 1,6.09675000000000000e+04, 1, 1
 2,1.60742217849999986e+05, 1, 1
 1,1.03460000000000000e+05, 1, 1
 1,1.60742217849999986e+05, 1, 1
 1,4.06450000000000000e+04, 2, 1
 1,2.03225000000000000e+04, 2, 1
 1,4.06450000000000000e+04, 2, 1
 1,3.32550000000000000e+04, 2, 1
 1,2.40175000000000000e+04, 2, 1
 1,1.20087500000000000e+04, 2, 1
 1,5.54250000000000000e+03, 2, 1
 1,4.80350000000000000e+03, 2, 1
 1,8.31375000000000000e+03, 2, 1
 1,2.40175000000000000e+04, 1, 1
 2,1.75512500000000000e+04, 1, 1
 1,4.98825000000000000e+04, 1, 1
 2,3.32550000000000000e+04, 1, 1
 1,6.09675000000000000e+04, 1, 1
 1,1.60742217849999986e+05, 1, 1
 2,1.03460000000000000e+05, 1, 1
 2,7.39000000000000000e+04, 1, 1
 2,1.47800000000000000e+03, 1, 1
 1,4.06450000000000000e+04, 1, 1
 1,1.57037500000000000e+04, 2, 1
 2,2.40175000000000000e+04, 1, 1
 1,4.06450000000000000e+04, 2, 1
 2,3.32550000000000000e+04, 1, 1
 1,2.03225000000000000e+04, 2, 1
 1,3.32550000000000000e+04, 2, 1
 1,2.77125000000000000e+04, 1, 1
 2,4.98825000000000000e+04, 1, 2
 2,6.09675000000000000e+04, 1, 1
 2,1.38562500000000000e+04, 1, 1
 1,4.06450000000000000e+04, 1, 1
 1,2.40175000000000000e+04, 1, 1
 1,3.32550000000000000e+04, 1, 1
 1,7.39000000000000000e+04, 1, 1
 1,1.60742217849999986e+05, 1, 1
 1,1.47800000000000000e+03, 1, 1
 1,6.09675000000000000e+04, 1, 1
 1,6.09675000000000000e+04, 1, 1
 2,1.60742217849999986e+05, 1, 1
 2,7.39000000000000000e+04, 1, 1
 1,8.86800000000000000e+04, 3, 1
 1,1.60742217849999986e+05, 1, 1
 1,4.06450000000000000e+04, 1, 1
 1,1.20087500000000000e+04, 1, 1
 1,1.75512500000000000e+04, 1, 1
 1,6.65100000000000000e+03, 1, 1
 1,1.01612500000000000e+04, 2, 1
 1,7.39000000000000000e+04, 1, 1
 1,4.06450000000000000e+04, 1, 1
 1,3.32550000000000000e+04, 1, 1
 1,2.77125000000000000e+04, 1, 1
 2,1.01612500000000000e+04, 1, 1
 1,6.09675000000000000e+04, 1, 1
 1,4.98825000000000000e+04, 1, 1
 1,4.98825000000000000e+04, 3, 2
 1,2.77125000000000000e+04, 3, 2
 1,4.98825000000000000e+04, 1, 1
 2,1.03460000000000000e+05, 1, 1
 2,7.39000000000000000e+04, 1, 1
 2,8.86800000000000000e+04, 1, 1
 2,3.32550000000000000e+04, 1, 1
 1,4.06450000000000000e+04, 2, 1
 1,7.39000000000000000e+04, 1, 1
 1,1.60742217849999986e+05, 1, 1
 2,2.40175000000000000e+04, 1, 2
 1,8.31375000000000000e+03, 1, 2
 2,4.98825000000000000e+04, 1, 1
 1,4.98825000000000000e+04, 1, 2
 2,1.60742217849999986e+05, 1, 1
 2,1.60742217849999986e+05, 1, 1
 2,2.03225000000000000e+04, 1, 1
 2,3.32550000000000000e+04, 1, 1
 2,4.06450000000000000e+04, 1, 1
 1,4.06450000000000000e+04, 2, 1
 1,3.32550000000000000e+04, 2, 1
 1,1.20087500000000000e+04, 1, 1
 1,1.38562500000000000e+04, 1, 2
 2,2.77125000000000000e+04, 1, 1
 1,3.32550000000000000e+04, 3, 1
 1,1.57037500000000000e+04, 3, 2
 1,4.06450000000000000e+03, 3, 2
 1,4.06450000000000000e+03, 2, 1
 1,1.20087500000000000e+04, 2, 1
 1,3.32550000000000000e+04, 2, 1
 2,1.60742217849999986e+05, 1, 1
 2,1.03460000000000000e+05, 1, 1
 2,8.86800000000000000e+04, 1, 1
 2,1.60742217849999986e+05, 1, 1
 2,4.98825000000000000e+04, 1, 1
 2,1.60742217849999986e+05, 1, 1
 1,4.98825000000000000e+04, 1, 1
 1,7.39000000000000000e+04, 1, 1
 2,2.77125000000000000e+04, 1, 1
 2,4.06450000000000000e+04, 1, 1
 1,7.39000000000000000e+04, 1, 1
 2,6.09675000000000000e+04, 1, 1
 1,1.20087500000000000e+04, 1, 2
 2,1.60742217849999986e+05, 1, 1
 1,6.09675000000000000e+04, 1, 1
 2,4.06450000000000000e+04, 1,30
 1,4.98825000000000000e+04, 1, 1
 2,8.86800000000000000e+04, 1, 1
 1,1.03460000000000000e+05, 1, 1
 2,4.98825000000000000e+04, 1, 1
 2,2.40175000000000000e+04, 1, 1
 1,2.40175000000000000e+04, 1, 2
 1,4.98825000000000000e+04, 1, 1
 1,4.06450000000000000e+04, 1, 1
 2,7.39000000000000000e+04, 1, 1
 2,8.86800000000000000e+04, 1, 1
 1,1.75512500000000000e+04, 1, 1
 2,1.60742217849999986e+05, 1, 1
 1,4.06450000000000000e+04, 1, 1
 1,4.98825000000000000e+04, 1, 1
 2,1.20087500000000000e+04, 1, 1
 1,1.60742217849999986e+05, 1,30
 2,7.39000000000000000e+04, 1, 1
 1,1.60742217849999986e+05, 1, 1
 1,4.98825000000000000e+04, 1, 1
 1,8.86800000000000000e+04, 1, 1
 1,8.31375000000000000e+03, 1, 1
 2,1.60742217849999986e+05, 1, 1
 1,6.09675000000000000e+04, 1,22
 3,7.39000000000000000e+04, 1, 1
 2,4.98825000000000000e+04, 1, 1
 2,4.98825000000000000e+04, 1, 1
 2,1.60742217849999986e+05, 1, 1
 1,4.06450000000000000e+04, 1, 1
 1,6.65100000000000000e+03, 1, 1
 1,1.38562500000000000e+04, 1, 1
 2,2.40175000000000000e+04, 1, 1
 1,2.03225000000000000e+04, 2, 1
 1,4.06450000000000000e+04, 1, 1
 2,6.09675000000000000e+04, 1, 1
 1,7.39000000000000000e+04, 1, 1
 1,1.75512500000000000e+04, 1, 1
 3,1.20087500000000000e+04, 1, 1
 1,6.09675000000000000e+04, 1, 1
 1,4.98825000000000000e+04, 2, 1
 1,1.60742217849999986e+05, 2, 1
 1,4.98825000000000000e+04, 2, 1
 1,1.38562500000000000e+04, 2, 1
 1,4.98825000000000000e+04, 1, 1
 1,6.09675000000000000e+04, 1, 1
 3,1.38562500000000000e+04, 1, 1
 1,2.40175000000000000e+04, 1, 1
 1,1.57037500000000000e+04, 1, 1
 1,1.75512500000000000e+04, 1, 1
 2,3.32550000000000000e+04, 1, 1
 1,1.60742217849999986e+05, 2, 1
 1,1.03460000000000000e+05, 3, 1
 1,7.39000000000000000e+04, 1, 1
 1,8.86800000000000000e+04, 1, 1
 1,1.57037500000000000e+04, 1, 1
 2,2.77125000000000000e+04, 1, 1
 2,4.98825000000000000e+04, 1, 1
 1,1.57037500000000000e+04, 1, 1
 1,1.01612500000000000e+04, 1, 1
 1,1.03460000000000000e+05, 1, 1
 2,3.32550000000000000e+04, 1, 1
 2,1.03460000000000000e+05, 1, 1
 2,2.03225000000000000e+04, 1, 1
 2,4.06450000000000000e+04, 1, 1
 2,4.98825000000000000e+04, 1, 1
 1,8.86800000000000000e+04, 3, 3
 2,3.32550000000000000e+04, 1, 1
 2,1.03460000000000000e+05, 1, 1
 2,8.86800000000000000e+04, 1, 1
 2,2.03225000000000000e+04, 1, 1
 2,2.40175000000000000e+04, 1, 1
 1,4.06450000000000000e+04, 2, 1
 1,1.38562500000000000e+04, 2, 1
 1,3.32550000000000000e+04, 2, 1
 1,2.40175000000000000e+04, 2, 1
 1,1.03460000000000000e+05, 2, 1
 1,4.06450000000000000e+04, 1, 1
 2,2.40175000000000000e+04, 1, 1
 2,1.20087500000000000e+04, 2, 1
 1,1.57037500000000000e+04, 1, 1
 1,2.77125000000000000e+04, 1, 1
 1,4.06450000000000000e+04, 1, 2
 2,1.38562500000000000e+04, 1, 1
 2,8.86800000000000000e+04, 1, 1
 1,3.32550000000000000e+04, 2, 1
 2,6.09675000000000000e+04, 1, 3
 1,2.40175000000000000e+04, 1, 3
 2,2.40175000000000000e+04, 1, 1
 2,3.32550000000000000e+04, 1, 1
 2,6.09675000000000000e+04, 1,15
 2,2.03225000000000000e+04, 1, 1
 1,6.09675000000000000e+04, 1, 1
 2,8.86800000000000000e+04, 1, 1
 1,4.06450000000000000e+04, 1, 1
 2,4.98825000000000000e+04, 1, 1
 2,1.60742217849999986e+05, 1, 1
 2,8.31375000000000000e+03, 1, 1
 1,2.77125000000000000e+04, 3, 1
 2,4.98825000000000000e+04, 3, 2
 1,4.06450000000000000e+04, 1, 1
 2,4.06450000000000000e+04, 1, 1
 1,4.98825000000000000e+04, 1, 1
 1,4.98825000000000000e+04, 1, 1
 2,2.77125000000000000e+04, 1, 1
 1,4.98825000000000000e+04, 3, 1
 1,2.03225000000000000e+04, 3, 2
 1,4.06450000000000000e+04, 3, 1
 2,7.39000000000000000e+04, 3, 1
 2,6.09675000000000000e+04, 1, 1
 1,2.03225000000000000e+04, 1, 1
 2,8.86800000000000000e+04, 1, 1
 2,1.60742217849999986e+05, 1, 1
 2,6.09675000000000000e+04, 1, 1
 2,4.98825000000000000e+04, 1, 1
 1,6.09675000000000000e+04, 1, 1
 2,4.98825000000000000e+04, 1, 1
 1,6.09675000000000000e+04, 1, 1
 1,2.40175000000000000e+04, 1, 1
 1,8.31375000000000000e+03, 1, 1
 1,4.06450000000000000e+04, 2, 1
 1,3.69500000000000000e+02, 2, 1
 1,2.77125000000000000e+04, 1, 1
 1,6.09675000000000000e+04, 2, 1
 1,1.01612500000000000e+04, 2, 1
 1,2.77125000000000000e+04, 1, 1
 2,2.03225000000000000e+04, 1, 1
 1,4.06450000000000000e+04, 1, 1
 2,6.09675000000000000e+04, 1, 1
 2,7.39000000000000000e+04, 1, 1
 2,1.57037500000000000e+04, 1, 1
 1,3.69500000000000000e+02, 2, 1
 2,4.98825000000000000e+04, 1, 1
 1,6.09675000000000000e+04, 2, 1
 2,4.98825000000000000e+04, 1, 1
 2,7.39000000000000000e+04, 1, 1
 2,2.40175000000000000e+04, 1, 1
 1,4.80350000000000000e+03, 1, 1
 2,2.40175000000000000e+04, 2, 1
 1,1.75512500000000000e+04, 2, 1
 1,2.03225000000000000e+04, 2, 1
 1,2.77125000000000000e+04, 2, 1
 2,3.32550000000000000e+04, 1, 1
 1,4.06450000000000000e+03, 2, 1
 2,1.01612500000000000e+04, 1, 1
 2,7.39000000000000000e+04, 1, 1
 2,1.38562500000000000e+04, 1, 1
 2,1.60742217849999986e+05, 1, 1
 1,3.32550000000000000e+04, 1, 1
 1,4.98825000000000000e+04, 1, 1
 2,4.98825000000000000e+04, 1, 1
 2,1.01612500000000000e+04, 1, 1
 2,1.38562500000000000e+04, 1, 1
 1,8.86800000000000000e+04, 1, 1
 1,4.06450000000000000e+04, 1, 1
 1,4.98825000000000000e+04, 1, 1
 1,6.65100000000000000e+03, 2, 1
 1,3.69500000000000000e+02, 2, 1
 1,6.65100000000000000e+03, 2, 1
 1,4.80350000000000000e+03, 2, 1
 1,4.98825000000000000e+04, 1, 1
 1,2.77125000000000000e+04, 2, 1
 1,6.09675000000000000e+04, 1, 1
 1,2.03225000000000000e+04, 1, 1
 2,6.09675000000000000e+04, 1, 1
 1,1.57037500000000000e+04, 1, 1
 1,2.40175000000000000e+04, 1, 1
 1,1.47800000000000000e+03, 1, 2
 1,1.20087500000000000e+04, 3, 2
 1,4.06450000000000000e+04, 1, 2
 1,1.60742217849999986e+05, 1, 2
 1,7.39000000000000000e+04, 1, 1
 2,6.09675000000000000e+04, 1, 1
 1,1.60742217849999986e+05, 1, 1
 1,1.57037500000000000e+04, 2, 1
 1,7.39000000000000000e+04, 1, 1
 1,4.06450000000000000e+04, 2, 1
 1,1.60742217849999986e+05, 1, 1
 1,2.77125000000000000e+04, 1, 1
 1,8.86800000000000000e+04, 2, 1
 1,2.40175000000000000e+04, 2, 1
 2,1.60742217849999986e+05, 1, 1
 2,4.06450000000000000e+04, 1, 1
 1,4.06450000000000000e+04, 1, 1
 2,8.86800000000000000e+04, 1, 1
 2,2.77125000000000000e+04, 1, 1
 2,2.40175000000000000e+04, 1, 1
 1,6.09675000000000000e+04, 1, 1
 1,2.03225000000000000e+04, 2, 1
 1,1.38562500000000000e+04, 1, 1
 1,2.40175000000000000e+04, 2, 1
 1,2.03225000000000000e+04, 2, 1
 1,4.06450000000000000e+04, 2, 1
 2,1.60742217849999986e+05, 1, 1
 2,4.06450000000000000e+04, 1, 1
 1,3.32550000000000000e+04, 1, 2
 2,2.77125000000000000e+04, 1, 1
 1,1.01612500000000000e+04, 1, 1
 1,8.86800000000000000e+04, 1, 1
 2,3.32550000000000000e+04, 1, 1
 1,6.09675000000000000e+04, 1, 1
 1,6.09675000000000000e+04, 1, 2
 2,1.03460000000000000e+05, 1, 1
 2,4.06450000000000000e+04, 1, 1
 2,1.60742217849999986e+05, 1, 1
 1,4.98825000000000000e+04, 1, 1
 1,4.98825000000000000e+04, 1, 1
 2,8.86800000000000000e+04, 1, 1
 2,8.86800000000000000e+04, 1, 1
 2,8.86800000000000000e+04, 1, 2
 1,1.60742217849999986e+05, 1, 1
 1,4.98825000000000000e+04, 1, 1
 1,4.06450000000000000e+03, 3, 2
 1,8.86800000000000000e+04, 1, 1
 1,4.98825000000000000e+04, 1, 1
 1,3.32550000000000000e+04, 1, 1
 1,3.32550000000000000e+04, 1, 1
 1,1.03460000000000000e+05, 1, 1
 2,1.60742217849999986e+05, 1, 1
 1,1.60742217849999986e+05, 1, 1
 2,7.39000000000000000e+04, 1, 1
 2,1.60742217849999986e+05, 1, 1
 1,8.86800000000000000e+04, 1, 1
 2,1.60742217849999986e+05, 1, 1
 1,2.58650000000000000e+03, 1, 1
 1,6.09675000000000000e+04, 1, 1
 1,7.39000000000000000e+04, 1, 1
 2,8.86800000000000000e+04, 1, 1
 1,2.40175000000000000e+04, 1, 1
 1,4.06450000000000000e+04, 1, 1
 1,1.57037500000000000e+04, 1, 1
 2,3.32550000000000000e+04, 1, 1
 1,2.77125000000000000e+04, 1, 1
 2,4.06450000000000000e+04, 1, 1
 1,8.86800000000000000e+04, 1, 1
 1,1.60742217849999986e+05, 1, 1
 2,7.39000000000000000e+04, 1, 1
 2,1.60742217849999986e+05, 1, 1
 1,1.60742217849999986e+05, 1, 1
 2,2.03225000000000000e+04, 1, 1
 2,1.57037500000000000e+04, 1, 1
 2,1.60742217849999986e+05, 1, 1
 2,6.09675000000000000e+04, 1, 1
 2,4.06450000000000000e+04, 1, 1
 2,4.98825000000000000e+04, 1, 1
 1,1.38562500000000000e+04, 1, 1
 1,3.32550000000000000e+04, 1, 1
 2,2.40175000000000000e+04, 1, 1
 1,2.77125000000000000e+04, 1, 1
 1,1.20087500000000000e+04, 1, 1
 2,3.69500000000000000e+02, 1, 1
 1,2.03225000000000000e+04, 1, 1
 1,6.09675000000000000e+04, 1, 1
 1,4.06450000000000000e+04, 1, 1
 2,6.65100000000000000e+03, 1, 1
 2,4.06450000000000000e+04, 1, 1
 1,4.98825000000000000e+04, 1, 1
 2,1.75512500000000000e+04, 1, 1
 2,6.09675000000000000e+04, 1, 1
 1,4.06450000000000000e+04, 1, 1
 1,1.60742217849999986e+05, 1, 1
 2,1.60742217849999986e+05, 1, 1
 2,1.03460000000000000e+05, 1, 1
 1,1.03460000000000000e+05, 1, 3
 1,6.65100000000000000e+03, 1, 1
 1,3.69500000000000000e+02, 1, 1
 1,4.80350000000000000e+03, 1, 1
 1,1.57037500000000000e+04, 1, 1
 2,6.09675000000000000e+04, 1, 1
 1,6.09675000000000000e+04, 2, 1
 3,4.98825000000000000e+04, 1, 1
 1,3.32550000000000000e+04, 1, 1
 1,7.39000000000000000e+04, 1, 1
 1,8.86800000000000000e+04, 1, 1
 2,7.39000000000000000e+04, 1, 1
 1,1.20087500000000000e+04, 1, 1
 3,1.75512500000000000e+04, 1, 1
 1,1.01612500000000000e+04, 1, 1
 1,4.98825000000000000e+04, 1, 1
 2,1.60742217849999986e+05, 1, 1
 1,2.40175000000000000e+04, 1, 1
 1,2.77125000000000000e+04, 1, 1
 1,2.40175000000000000e+04, 1, 1
 1,3.32550000000000000e+04, 1, 1
 1,2.77125000000000000e+04, 1, 1
 1,3.32550000000000000e+04, 1, 1
 1,3.32550000000000000e+04, 1, 1
 1,7.39000000000000000e+04, 1, 1
 1,4.06450000000000000e+04, 1, 1
 2,2.40175000000000000e+04, 1, 1
 1,6.09675000000000000e+04, 1, 1
 1,1.60742217849999986e+05, 3, 1
 1,4.06450000000000000e+04, 1, 1
 1,8.86800000000000000e+04, 1, 1
 1,2.40175000000000000e+04, 1, 1
 2,1.20087500000000000e+04, 1, 1
 2,4.06450000000000000e+04, 1, 1
 1,1.20087500000000000e+04, 3, 1
 1,4.98825000000000000e+04, 1, 1
 1,4.06450000000000000e+04, 1, 1
 1,2.58650000000000000e+03, 1, 1
 1,4.06450000000000000e+04, 1, 1
 1,4.98825000000000000e+04, 1, 1
 2,2.77125000000000000e+04, 1, 1
 1,2.40175000000000000e+04, 1, 1
 1,7.39000000000000000e+04, 1, 1
 1,4.98825000000000000e+04, 1, 1
 1,6.65100000000000000e+03, 1, 1
 1,8.31375000000000000e+03, 1, 1
 1,4.06450000000000000e+04, 1, 1
 2,7.39000000000000000e+04, 1, 1
 1,1.60742217849999986e+05, 1, 1
 2,6.09675000000000000e+04, 1, 1
 2,4.06450000000000000e+04, 1, 1
 1,2.03225000000000000e+04, 1, 1
 1,2.40175000000000000e+04, 1, 1
 2,1.60742217849999986e+05, 1, 1
 1,7.39000000000000000e+04, 1, 1
 2,4.98825000000000000e+04, 1, 1
 2,1.60742217849999986e+05, 1, 1
 2,2.77125000000000000e+04, 1, 1
 1,1.20087500000000000e+04, 2, 1
 1,3.32550000000000000e+04, 1, 1
 1,6.09675000000000000e+04, 1, 1
 1,6.09675000000000000e+04, 2, 1
 2,2.40175000000000000e+04, 1, 1
 1,8.86800000000000000e+04, 1, 1
 2,4.98825000000000000e+04, 1, 1
 2,4.98825000000000000e+04, 1, 1
 2,1.03460000000000000e+05, 1, 1
 1,2.40175000000000000e+04, 1, 1
 2,2.03225000000000000e+04, 1, 1
 2,7.39000000000000000e+04, 1, 1
 1,1.60742217849999986e+05, 1, 1
 1,4.98825000000000000e+04, 1, 1
 1,1.38562500000000000e+04, 1, 1
 2,2.03225000000000000e+04, 1, 1
 2,6.09675000000000000e+04, 1, 1
 1,2.77125000000000000e+04, 1, 1
 1,7.39000000000000000e+04, 1, 1
 1,1.38562500000000000e+04, 1, 1
 2,7.39000000000000000e+04, 1, 1
 1,1.01612500000000000e+04, 1, 1
 2,3.32550000000000000e+04, 1, 1
 2,4.06450000000000000e+04, 1, 1
 2,1.75512500000000000e+04, 1, 1
 2,4.06450000000000000e+04, 1, 1
 1,1.75512500000000000e+04, 1, 1
 2,1.20087500000000000e+04, 1, 1
 1,1.20087500000000000e+04, 2, 1
 2,7.39000000000000000e+04, 1, 1
 1,2.40175000000000000e+04, 1, 1
 2,6.09675000000000000e+04, 1, 1
 1,2.03225000000000000e+04, 2, 1
 2,8.31375000000000000e+03, 1, 1
 4,4.98825000000000000e+04, 1, 1
 1,1.01612500000000000e+04, 2, 1
 1,4.06450000000000000e+03, 2, 1
 1,7.39000000000000000e+04, 1, 1
 2,7.39000000000000000e+04, 1, 1
 2,1.03460000000000000e+05, 1, 1
 1,1.01612500000000000e+04, 2, 1
 2,1.01612500000000000e+04, 1, 1
 2,1.57037500000000000e+04, 1, 1
 2,6.09675000000000000e+04, 1, 1
 2,2.03225000000000000e+04, 1, 1
 1,3.69500000000000000e+02, 2, 1
 1,2.40175000000000000e+04, 2, 1
 2,6.09675000000000000e+04, 1, 1
 2,4.06450000000000000e+04, 1, 1
 1,1.20087500000000000e+04, 2, 1
 1,4.80350000000000000e+03, 2, 1
 1,1.75512500000000000e+04, 2, 1
 1,1.75512500000000000e+04, 2, 1
 1,2.03225000000000000e+04, 2, 1
 1,3.69500000000000000e+02, 2, 1
 1,2.77125000000000000e+04, 2, 1
 1,1.57037500000000000e+04, 2, 1
 1,3.32550000000000000e+03, 2, 1
 1,4.98825000000000000e+04, 1, 1
 1,7.39000000000000000e+04, 1, 1
 1,1.75512500000000000e+04, 1, 1
 2,4.98825000000000000e+04, 1, 1
 2,4.98825000000000000e+04, 1, 1
 1,1.20087500000000000e+04, 1, 1
 2,2.03225000000000000e+04, 1, 1
 2,4.06450000000000000e+04, 1, 1
 1,8.86800000000000000e+04, 2, 1
 1,6.09675000000000000e+04, 2, 1
 1,1.60742217849999986e+05, 2, 1
 1,8.31375000000000000e+03, 2, 1
 1,4.06450000000000000e+04, 1, 1
 1,2.03225000000000000e+04, 2, 1
 2,3.32550000000000000e+03, 1, 1
 2,2.03225000000000000e+04, 1,30
 1,1.75512500000000000e+04, 2, 1
 1,2.03225000000000000e+04, 2, 1
 1,6.65100000000000000e+03, 2, 1
 2,2.77125000000000000e+04, 1, 1
 2,3.32550000000000000e+04, 1, 1
 2,3.32550000000000000e+04, 1, 1
 2,1.20087500000000000e+04, 1, 1
 2,4.98825000000000000e+04, 1, 1
 2,4.06450000000000000e+04, 1, 1
 1,4.98825000000000000e+04, 1, 1
 2,1.01612500000000000e+04, 1, 1
 2,1.57037500000000000e+04, 1, 1
 1,2.77125000000000000e+04, 2, 1
 1,8.31375000000000000e+03, 2, 1
 2,4.98825000000000000e+04, 1, 1
 1,3.32550000000000000e+04, 2, 1
 1,4.98825000000000000e+04, 2, 1
 1,4.06450000000000000e+04, 2, 1
 2,7.39000000000000000e+04, 1, 1
 1,1.60742217849999986e+05, 1, 1
 2,1.60742217849999986e+05, 1, 1
 2,4.98825000000000000e+04, 1, 1
 1,2.77125000000000000e+04, 1, 1
 1,1.75512500000000000e+04, 1, 1
 1,1.57037500000000000e+04, 2, 1
 1,4.98825000000000000e+04, 1, 1
 1,3.32550000000000000e+04, 1, 1
 1,3.32550000000000000e+04, 2, 1
 1,4.98825000000000000e+04, 3, 8
 1,3.32550000000000000e+04, 1, 1
 1,1.57037500000000000e+04, 1, 1
 2,1.01612500000000000e+04, 1, 1
 1,8.31375000000000000e+03, 1, 1
 2,2.40175000000000000e+04, 1, 1
 2,8.86800000000000000e+04, 1, 1
 2,4.98825000000000000e+04, 1, 1
 1,5.54250000000000000e+03, 2, 1
 1,3.69500000000000000e+02, 2, 1
 1,1.01612500000000000e+04, 2, 1
 2,8.31375000000000000e+03, 1, 1
 2,8.31375000000000000e+03, 1, 1
 2,7.39000000000000000e+04, 1, 1
 2,3.32550000000000000e+04, 1, 1
 2,7.39000000000000000e+04, 1, 1
 2,4.06450000000000000e+04, 1, 1
 2,4.06450000000000000e+04, 1, 1
